species,lon,lat,source
Philydor atricapillus,-47.733333,-24.216667,Hasui
Myrmotherula unicolor,-47.733333,-24.216667,Hasui
Mionectes rufiventris,-47.733333,-24.216667,Hasui
Schiffornis virescens,-47.733333,-24.216667,Hasui
Philydor atricapillus,-47.75,-24.183333,Hasui
Cichlocolaptes leucophrus,-47.75,-24.183333,Hasui
Anabacerthia lichtensteini,-47.75,-24.183333,Hasui
Sclerurus scansor,-47.75,-24.183333,Hasui
Terenura maculata,-47.75,-24.183333,Hasui
Myrmotherula unicolor,-47.75,-24.183333,Hasui
Rhopias gularis,-47.75,-24.183333,Hasui
Merulaxis ater,-47.75,-24.183333,Hasui
Mionectes rufiventris,-47.75,-24.183333,Hasui
Ilicura militaris,-47.75,-24.183333,Hasui
Lipaugus lanioides,-47.75,-24.183333,Hasui
Philydor atricapillus,-47.75,-24.216667,Hasui
Anabazenops fuscus,-47.75,-24.216667,Hasui
Anabacerthia lichtensteini,-47.75,-24.216667,Hasui
Sclerurus scansor,-47.75,-24.216667,Hasui
Myrmotherula unicolor,-47.75,-24.216667,Hasui
Mionectes rufiventris,-47.75,-24.216667,Hasui
Phylloscartes oustaleti,-47.75,-24.216667,Hasui
Ilicura militaris,-47.75,-24.216667,Hasui
Lipaugus lanioides,-47.75,-24.216667,Hasui
Saltator fuliginosus,-47.75,-24.216667,Hasui
Hemitriccus orbitatus,-46.883333,-23.2,Hasui
Schiffornis virescens,-46.883333,-23.2,Hasui
Neopelma chrysolophum,-46.933333,-23.516667,Hasui
Hemitriccus orbitatus,-46.933333,-23.516667,Hasui
Rhopias gularis,-49.9833,-23.15,Hasui
Anabacerthia lichtensteini,-49.9833,-23.15,Hasui
Cranioleuca pallida,-43.55,-19.233333,Hasui
Hemitriccus orbitatus,-48.316667,-21.266667,Hasui
Neopelma chrysolophum,-46.85,-23,Hasui
Mionectes rufiventris,-46.85,-23,Hasui
Schiffornis virescens,-46.85,-23,Hasui
Neopelma chrysolophum,-44.633333,-22.383333,Hasui
Schiffornis virescens,-44.633333,-22.383333,Hasui
Drymophila genei,-44.666667,-22.383333,Hasui
Cranioleuca pallida,-44.59333,-22.465172,Hasui
Heliobletus contaminatus,-44.59333,-22.465172,Hasui
Drymophila genei,-44.59333,-22.465172,Hasui
Dysithamnus xanthopterus,-44.59333,-22.465172,Hasui
